source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
crea,007030,"Albicocche, secche",it,,cat4,100,g,66.5,5,0.5,286,crea-2019
crea,007040,"Cocomero, fresco",it,,cat4,100,g,3.7,0.4,0,16,crea-2019
crea,007050,"Fichi, freschi",it,,cat4,100,g,14.2,0.9,0.2,63,crea-2019
crea,007053,"Fichi, seccati al forno e mandorlati",it,,cat4,100,g,58.2,5.2,4.2,305,crea-2019
crea,007060,"Fichi, canditi",it,,cat4,100,g,73.7,3.5,0.2,294,crea-2019
crea,007070,"Fichi, secchi",it,,cat4,100,g,58,3.5,2.7,282,crea-2019
crea,007080,"Fichi d'india, freschi",it,,cat4,100,g,13,0.8,0.1,63,crea-2019
crea,007090,"Loti o kaki, freschi",it,,cat4,100,g,16,0.6,0.3,70,crea-2019
crea,007100,"Melagrane, fresche",it,,cat4,100,g,15.9,0.5,0.2,68,crea-2019
crea,007110,"Mele, fresche, senza buccia",it,,cat4,100,g,13.7,0.3,0.1,57,crea-2019
crea,007120,"Mele, fresche, con buccia",it,,cat4,100,g,10,0.2,0,44,crea-2019
crea,007130,"Mele, fresche, annurche",it,,cat4,100,g,10.2,0.3,0.1,45,crea-2019
crea,007140,"Mele, fresche, deliziose",it,,cat4,100,g,11.1,0.2,0.1,46,crea-2019
crea,007150,"Mele, fresche, golden",it,,cat4,100,g,10.7,0.4,0.1,46,crea-2019
crea,007160,"Mele, fresche, granny smith",it,,cat4,100,g,9.4,0.5,0.1,42,crea-2019
crea,007170,"Mele, fresche, imperatore",it,,cat4,100,g,11.3,0.2,0.1,48,crea-2019
crea,007180,"Mele, fresche, renette",it,,cat4,100,g,10,0.3,0.1,43,crea-2019
crea,007190,"Mele, disidratate",it,,cat4,100,g,82.2,1.3,2,356,crea-2019
crea,007220,"Mele cotogne, fresche",it,,cat4,100,g,6.3,0.3,0.1,38,crea-2019
crea,007230,"Melone, d'estate, fresco",it,,cat4,100,g,7.4,0.8,0.2,34,crea-2019
crea,007240,"Melone, d'inverno, fresco",it,,cat4,100,g,4.9,0.5,0.2,24,crea-2019
crea,007250,"Nespole, fresche",it,,cat4,100,g,6.1,0.4,0.4,32,crea-2019
crea,007260,"Pere, fresche, senza buccia",it,,cat4,100,g,8.8,0.3,0.1,43,crea-2019
crea,007261,"Pere, fresche, Abate Fetel",it,,cat4,100,g,12.7,0.2,0.3,59,crea-2019
crea,007262,"Pere, fresche, Coscia",it,,cat4,100,g,8.6,0.3,0.1,42,crea-2019
crea,007263,"Pere, fresche, Kaiser",it,,cat4,100,g,9.2,0.3,0.5,48,crea-2019
crea,007264,"Pere, fresche, Max-Red Barlett",it,,cat4,100,g,10,0.3,0.4,50,crea-2019
crea,007265,"Pere, fresche, William",it,,cat4,100,g,10.2,0.3,0.5,52,crea-2019
crea,007270,"Pere, candite",it,,cat4,100,g,73.9,1,0.4,294,crea-2019
crea,007280,"Pesche, fresche, senza buccia",it,,cat4,100,g,6.1,0.8,0.1,30,crea-2019
crea,007290,"Pesche, fresche, con buccia",it,,cat4,100,g,5.8,0.7,0,28,crea-2019
crea,007300,"Pesche, disidratate",it,,cat4,100,g,88,4.8,0.9,364,crea-2019
crea,007310,"Pesche, sciroppate",it,,cat4,100,g,14,0.5,0,56,crea-2019
crea,007320,"Pesche, secche",it,,cat4,100,g,68.3,3.1,0.7,280,crea-2019
crea,007330,"Peschenoci, fresche",it,,cat4,100,g,7,1.4,0.1,36,crea-2019
crea,007340,"Prugne, fresche",it,,cat4,100,g,10.5,0.5,0.1,45,crea-2019
crea,007350,"Prugne, gialle",it,,cat4,100,g,6.6,0.5,0.1,30,crea-2019
crea,007360,"Prugne, rosse",it,,cat4,100,g,10.5,0.5,0.1,45,crea-2019
crea,007370,"Prugne, secche",it,,cat4,100,g,55,2.2,0.5,236,crea-2019
crea,007380,"Uva, fresca",it,,cat4,100,g,15.6,0.5,0.1,64,crea-2019
crea,007390,"Uva, bianca, fresca",it,,cat4,100,g,21.5,0.4,0.1,86,crea-2019
crea,007400,"Uva, nera, fresca",it,,cat4,100,g,12.6,0.5,0.1,53,crea-2019
crea,007410,"Uva, secca",it,,cat4,100,g,72,1.9,0.6,293,crea-2019
crea,007420,"Uva, succo, in cartone",it,,cat4,100,g,17.3,0.3,0,66,crea-2019
crea,007460,"Ananas, fresco",it,,cat4,100,g,10,0.5,0,42,crea-2019
crea,007470,"Ananas, sciroppato",it,,cat4,100,g,16.6,0.5,0,66,crea-2019
crea,007480,"Anona, fresca",it,,cat4,100,g,15.8,1.8,0.2,73,crea-2019
crea,007490,"Avocado, fresco",it,,cat4,100,g,1.8,4.4,23,238,crea-2019
crea,007500,"Babaco, fresco",it,,cat4,100,g,4.5,0.7,0.2,24,crea-2019
crea,007510,"Banane, fresche",it,,cat4,100,g,17.4,1.2,0.3,76,crea-2019
crea,007520,"Cocco, fresco",it,,cat5,100,g,4.4,3.5,35,358,crea-2019
crea,007530,"Cocco, essiccato",it,,cat5,100,g,16.4,5.6,62,669,crea-2019
crea,007550,"Feijoa, fresca",it,,cat4,100,g,9.6,0.7,0.8,59,crea-2019
crea,007560,"Guava, fresca",it,,cat4,100,g,3.5,0.7,0.5,31,crea-2019
crea,007570,"Kiwi, freschi",it,,cat4,100,g,9,1.2,0.6,48,crea-2019
crea,007580,"Litchi, freschi",it,,cat4,100,g,17.2,1.1,0.1,72,crea-2019
crea,007590,"Mango, fresco",it,,cat4,100,g,12.6,1,0.2,56,crea-2019
crea,007600,"Papaia, fresca",it,,cat4,100,g,6.9,0.4,0.1,33,crea-2019
crea,007610,"Passiflora, fresca",it,,cat4,100,g,5.7,3,0.3,64,crea-2019
crea,007630,"Datteri, secchi",it,,cat4,100,g,63.1,2.7,0.6,270,crea-2019
crea,007700,"Amarene, fresche",it,,cat4,100,g,10.2,0.8,0,44,crea-2019
crea,007710,"Ciliege, fresche",it,,cat4,100,g,11,0.8,0.1,48,crea-2019
crea,007720,"Ciliege, candite",it,,cat4,100,g,66.4,0.4,0,252,crea-2019
crea,007730,"Fragole, fresche",it,,cat4,100,g,5.3,0.9,0.4,30,crea-2019
crea,007740,"Lamponi, freschi",it,,cat4,100,g,6.5,1,0.6,49,crea-2019
crea,007750,Mora di rovo,it,,cat4,100,g,8.1,1.3,0,42,crea-2019
crea,007760,"Mirtilli, freschi",it,,cat4,100,g,10.1,0.9,0.2,49,crea-2019
crea,007770,"Ribes, freschi",it,,cat4,100,g,9.7,0.9,0,52,crea-2019
crea,008000,"Arance, fresche",it,,cat4,100,g,7.8,0.7,0.2,37,crea-2019
crea,008001,"Arance bionde, fresche",it,,cat4,100,g,9.9,0.7,0.2,45,crea-2019
crea,008002,"Arance Valencia, fresche",it,,cat4,100,g,8,0.7,0.3,39,crea-2019
crea,008003,"Arance Washington Navel, fresche",it,,cat4,100,g,9.4,1,0.2,44,crea-2019
crea,008004,"Arance rosse, fresche",it,,cat4,100,g,9.9,0.7,0.2,45,crea-2019
crea,008005,"Arance Moro, fresche",it,,cat4,100,g,9,0.7,0.2,42,crea-2019
