source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
cofid,17-809,"Mayonnaise, homemade",en,,Recipe WC,100,g,0.1,1.7,84.2,786,cofid-2021
cofid,17-810,"Soup, minestrone, homemade",en,,Recipe WAA,100,g,7.6,2.1,2.3,60,cofid-2021
cofid,17-811,"Mint sauce, homemade",en,,Recipe WC,100,g,19.4,0.8,0.1,85,cofid-2021
cofid,17-812,"Wine, mulled wine, homemade",en,,Recipe QE,100,ml,20.2,0.3,0.2,155,cofid-2021
cofid,17-813,"Soup, mulligatawny, homemade",en,,Recipe WAA,100,g,8.1,1.9,6.4,90,cofid-2021
cofid,17-814,"Nougat, homemade",en,,Recipe SEC,100,g,80,5.2,10.2,413,cofid-2021
cofid,17-815,"Onion sauce, made with semi-skimmed milk, homemade",en,,Recipe WCD,100,g,9,3,4.7,88,cofid-2021
cofid,17-816,"Onion sauce, made with skimmed milk, homemade",en,,Recipe WCD,100,g,9,3.1,3.8,80,cofid-2021
cofid,17-817,"Onion sauce, made with whole milk, homemade",en,,Recipe WCD,100,g,7.8,3.3,5.5,91,cofid-2021
cofid,17-818,"Ovaltine powder, made up with semi-skimmed milk",en,,Recipe. Calculated from 25g powder to 200ml milk PAA,100,g,13.4,3.9,1.7,81,cofid-2021
cofid,17-819,"Ovaltine powder, made up with skimmed milk",en,,Recipe. Calculated from 25g powder to 200ml milk PAA,100,g,13.5,3.9,0.4,70,cofid-2021
cofid,17-820,"Ovaltine powder, made up with whole milk",en,,Recipe. Calculated from 25g powder to 200ml milk PAA,100,g,13.3,3.8,3.4,96,cofid-2021
cofid,17-821,"Shandy, bottled or canned",en,,"<1% ABV, typically 10-12% beer or lager. 10 cans, 4 brands QA",100,ml,5,0,0,24,cofid-2021
cofid,17-822,"Cider, strong",en,,"6-8.5% ABV. 3 samples of the same brand, including vintage varieties, Aspall Permier Cru, K Cider, Scrumpy Strong and Diamond White QC",100,ml,7.3,0,0,68,cofid-2021
cofid,17-823,"Build up, powder, shake, assorted flavours",en,,"Manufacturer's data (Nestlé). Average of chocolate, strawberry, banana and vanilla flavours PAA",100,g,63,20.5,0.7,325,cofid-2021
cofid,17-824,Fruit pastilles,en,,6 samples of different brands; assorted flavours SEC,100,g,84.2,2.8,0,327,cofid-2021
cofid,17-825,"Instant drinks powder, malted, unfortified",en,,"10 samples, 3 brands. Own brands PAA",100,g,82.5,5.7,6.2,388,cofid-2021
cofid,17-826,"Treacle, black",en,,3 samples SC,100,g,67.2,1.2,0,257,cofid-2021
cofid,17-827,"Sauce, pasta, white, with ham and mushrooms, homemade",en,,Recipe WC,100,g,1,7.3,10.6,129,cofid-2021
cofid,17-828,"Sweets, sherbert",en,,"10 samples of different brands, including Refreshers, Parma Violets, Fizzers and Love Hearts SEC",100,g,93.9,0.6,0,355,cofid-2021
cofid,17-829,"Soup, pea and ham, homemade",en,,Recipe WAA,100,g,9.8,4.1,2.2,73,cofid-2021
cofid,17-830,"Peppermint creams, homemade",en,,Recipe SEC,100,g,96.9,0.7,0,366,cofid-2021
cofid,17-831,"Soup, potato and leek, homemade",en,,Recipe WAA,100,g,6.2,1.5,2.2,56,cofid-2021
cofid,17-832,"Raita, homemade",en,,"Recipe, spiced curd/yoghurt WC",100,g,5.8,4.4,2.4,57,cofid-2021
cofid,17-833,"Coffee, infusion, average",en,,"As consumed, average of strong and weak infusions PAC",100,g,0.3,0.2,0,2,cofid-2021
cofid,17-834,"Sauce, tomato based, homemade",en,,Recipe WC,100,g,6.5,1.5,4.5,70,cofid-2021
cofid,17-835,"Scotch broth, homemade",en,,Recipe WAA,100,g,4,6.8,3.5,74,cofid-2021
cofid,17-836,"Sev/ganthia, homemade",en,,"Recipe, savoury Indian snack SNC",100,g,47.1,18.8,25.1,478,cofid-2021
cofid,17-837,"Truffles, rum, homemade",en,,Recipe SEA,100,g,54.2,6,32.9,529,cofid-2021
